name,genre
 ...And You Will Know Us by the Trail of Dead ,Indie Rock
 .38 Special ,Classic Rock
" ""Weird Al"" Yankovic ",Novelty
 *NSync ,Pop
 101 Strings Orchestra ,Easy Listening/Vocal
 2 Chainz ,Hip-Hop/Rap
 2 Pistols ,Hip-Hop
 2NE1 ,Hip-Hop/Rap
 2Pac ,Gangsta Rap
 3 Doors Down ,Rock
 3BallMTY ,House
 3kStatic ,Electronic
 3LW ,R&B/Soul
 3OH!3 ,Alternative
 3T ,Soul
 5 Seconds Of Summer ,Pop/Rock
 50 Cent ,Hip-Hop/Rap
 5UP ,Hip-Hop/Rap
 98 Degrees ,Traditional Pop
 A Fine Frenzy ,Rock
 A Flock of Seagulls ,Rock
 A Great Big World ,Pop
 A Rocket to the Moon ,Rock
 A Thousand Horses ,Southern Rock
 a-ha ,Rock
 A.R. Rahman ,World/Reggae
 A$AP Ferg ,Rap
 A$AP Rocky ,Hip-Hop/Rap
 Aaliyah ,R&B/Soul
 Aaron & Amanda Crabb ,Country Gospel
 Aaron Carter ,Pop
 Aaron Lewis ,Contemporary Country
 Aaron Neville ,R&B/Soul
 Aaron Tippin ,Country Blues
 Aaron Watson ,Country
 Ab-Soul ,Hip-Hop/Rap
 ABBA ,Pop
 ABC ,New Wave
 Abida Parveen ,Easy Listening/Vocal
 Above & Beyond ,Dance
 Above the Law ,Hip-Hop/Rap
 Abstract Future ,Electronic
 AC Da' Perfecto ,Hip-Hop/Rap
 AC/DC ,Rock
 Ace Cannon ,Classic Rock
 Ace Hood ,Hip-Hop/Rap
 Acelya ,Pop
 Act As If ,Alternative
 Action Bronson ,Rap
 Action Item ,Pop
 ADA Band ,World/Reggae
 Adam Barta ,Pop/Rock
 Adam Fears ,Alternative Country
 Adam Lambert ,Pop
 Adam Levine ,Alternative
 Adassa ,Latino
 Adele ,Pop
 Adol ,Pop
 Adoniran Barbosa ,Latin
 Aerosmith ,Rock
 AFI ,Alternative
 Afrojack ,Dance
 After 7 ,R&B/Soul
 Afterhours ,Rock
 Against Me! ,Rock
 AGER ,Underground Rap
 Agnes Monica ,Rock
 Aiden ,Pop
 Air Supply ,Pop
 Airbourne ,Rock
 AK1200 ,Electronic/Dance
 Akon ,Hip-Hop/Rap
 Al B. Sure! ,Soul
 Al Green ,R&B/Soul
 Alabama ,Country
 Alabama Shakes ,Rock
 Alan Jackson ,Country
 Alana Davis ,Rock
 Alanis Morissette ,Pop/Rock
 Albert Phillips ,Rock
 Alberto Barros ,Latin
 Aldo Nova ,Classic Rock
 Alejandro Fernández ,Latin
 Alejandro Sanz ,World/International
 Alesana ,Hard Rock
 Alesha Dixon ,Rock
 Alessi's Ark ,Rock
 Alessia Cara ,Pop
 Alex Band ,Pop/Rock
 Alex Bueno ,Latin
 Alexz Johnson ,Singer/Songwriter
 Alice Cooper ,Rock
 Alice in Chains ,Alternative
 Alicia Keys ,R&B/Soul
 Alina Baraz ,Electronic/Dance
 Alison Krauss & Union Station ,Bluegrass
 All Saints ,R&B/Soul
 All Time Low ,Alternative
 All-4-One ,Adult Contemporary
 Allen Stone ,Soul
 Allen Thompson ,Alternative Country
 Allen Toussaint ,R&B/Soul
 Allison Moorer ,Country
 Aloe Blacc ,Soul
 Alpha Blondy ,Reggae
 Alt-J ,Indie Rock
 Alter Bridge ,Rock
 Alvin Slaughter ,Inspirational
 Aly & AJ ,Rock
 AM ,Alternative
 Ambersunshower ,R&B
 Amel Larrieux ,R&B/Soul
 America ,Rock
 Amerie ,R&B/Soul
 Amigos ,World/Reggae
 Amil ,Hip-Hop/Rap
 AminIzrael. ,Hip-Hop
 Amon Amarth ,Rock
 Amy Grant ,Christian Pop
 Amy Millan ,Alternative
 Amy Winehouse ,Soul
 Ana Gabriel ,Latin
 Anastácia ,Pop
 Anastasia ,Hip-Hop/Rap
 And Then There Were Two ,Indie Rock
 Andraé Crouch ,Inspirational
 Andrea Berg ,Pop
 Andrea Bocelli ,World/International
 Andy Bell ,Rock
 Andy Borg ,Rock
 Andy Grammer ,Pop
 Andy Griggs ,Country
 Angaleena Presley ,Country
 Angels Fall ,American Trad Rock
 Anggun ,Rock
 Angie Stone ,R&B/Soul
 Angus & Julia Stone ,Alternative Folk
 Angus Young ,Rock
 Animal Collective ,Alternative
 Anita Baker ,Soul
 Anna Ternheim ,Rock
 Anne Murray ,Country
 Anneliese van der Pol ,Pop
 Annie Lennox ,Pop
 Anthony Hamilton ,R&B/Soul
 Anti-Flag ,Rock
 Antonique Smith ,R&B/Soul
 Antonis Remos ,World/Reggae
 Anvil ,Metal
 Apache Indian ,Pop
 Aphex Twin ,Dance/Electronic
 Apocalyptica ,Modern Composition
 Aram Bedrosian ,Instrumental
 Arashi ,World/Reggae
 Arcade Fire ,Alternative
 Arcangel ,World/Reggae
 Archie Campbell ,Country
 Archive ,Rock
 Arctic Monkeys ,Alternative
 Aretha Franklin ,R&B/Soul
 Ariana Grande ,Pop
 Armin van Buuren ,Trance
 Army of Lovers ,Pop
 Arrested Development ,Hip-Hop
 Arsis ,Rock
 Art Blakey ,Jazz
 Ash Bowers ,Country
 Ashanti ,R&B/Soul
 Asher Roth ,Hip-Hop
 Ashlee Simpson ,Pop
 Ashley Clark ,Country
 Ashley Gearing ,Country
 Ashley Monroe ,Country
 Ashley Tisdale ,Pop
 Asking Alexandria ,Hard Rock
 Asleep at the Wheel ,Traditional Country
 Atmosphere ,Hip-Hop/Rap
 Aubrey Haynie ,Country
 Audioslave ,Alternative
 August Alsina ,R&B/Soul
 Augustana ,Roots Rock
 Augustin Dumay ,Jazz
 Austin Mahone ,Pop
 AVANT ,Soul
 Avenged Sevenfold ,Hard Rock
 Avery Sunshine ,R&B/Soul
 Avicii ,Dance/Electronic
 Avion Dre ,Hip-Hop
 Avril Lavigne ,Pop
 AWOLNATION ,Alternative
 AZ ,Hip-Hop/Rap
 Azealia Banks ,Rap
 B. Howard ,Pop
 B.G. ,Hip-Hop/Rap
 B.J. Thomas ,Country
 B.o.B ,Hip-Hop/Rap
 B2K ,Hip-Hop/Rap
 Baba Sehgal ,Hip-Hop
 Babes in Toyland ,Alternative
 Baby Bash ,Hip-Hop
 Babyface ,R&B/Soul
 Babyface Benji ,Hip-Hop/Rap
 Back Door Slam ,Rock
 Backstreet Boys ,Pop
 Bad Company ,Classic Rock
 Baha Men ,World/International
 Ballyhoo! ,Alternative
 Banda El Recodo ,Latin
 Banda Los Recoditos ,Latin
 Banda Ms ,Latin
 Bank Notes ,Hip-Hop/Rap
 BANKS ,Alternative
 Barbara Mandrell ,Country
 Barbra Streisand ,Pop
 Barenaked Ladies ,Adult Alternative
 Barry Gibb ,Alternative
 Barry Manilow ,Adult Contemporary
 Barry White ,Soul
 Bart Crow ,Alternative Country
 Basia Bulat ,Rock
 Bastille ,Alternative
 Bat for Lashes ,Rock
 Bavarian Radio Symphony Orchestra ,Classical
 Bay City Rollers ,Classic Rock
 Bea Miller ,Pop
 Beacon ,Electronic/Dance
 Beanie Sigel ,Hip-Hop/Rap
 Beastie Boys ,Punk
 Beck ,Alternative
 Becky G ,Pop
 Bee Gees ,Disco
 Beenie Man ,Dancehall
 Before You Exit ,Pop/Rock
 Bei Bei ,Alternative Rap
 Belanova ,Rock
 Belinda Carlisle ,Rock
 Bell Biv DeVoe ,R&B/Soul
 Belle and Sebastian ,Rock
 Ben Haenow ,Rock
 Ben Harper ,R&B/Soul
 Ben Howard ,Contemporary Singer/Songwriter
 Benjamin Booker ,Rock
 Benny Benassi ,House
 Benny Mardones ,Rock
 Beres Hammond ,Soul
 Berlin ,Pop/Rock
 Best Coast ,Indie Rock
 Beth Orton ,Rock
 Bette Midler ,Pop
 Better Than Ezra ,Rock
 Betty Hutton ,Soundtracks/Musicals
 Betty Wright ,R&B/Soul
 Between California and Summer ,Alternative
 Beyoncé ,Pop
 Biddu ,R&B
 Biffy Clyro ,Alternative
 Big Al Downing ,Rock
 big and rich ,Country
 Big Chief (Rock) ,Alternative
 Big Freedia ,Dance
 BIG K.R.I.T ,Hip-Hop
 Big Punisher ,Hip-Hop/Rap
 Big SMO ,Country
 Big Time Rush ,Pop
 BigBang ,Hip-Hop/Rap
 BigDawg Chino ,Hip-Hop/Rap
 Bilal ,Soul
 Bill & Gloria Gaither ,Inspirational
