artist,duration,album,genre,title,year,,
Blind Lemon Jefferson,178.38975,The Complete Classic Sides Remastered: Chicago 1926 Disc A,country blues,Long Lonesome Blues,1926,,
Blind Lemon Jefferson,175.15057,The Complete Classic Sides Remastered: Chicago 1926 Disc A,country blues,Got The Blues,1926,,
Ma Rainey,188.94322,Ma Rainey,classic female blues,Ma Rainey's Black Bottom,1927,,
Blind Lemon Jefferson,185.41669,King Of The Country Blues,country blues,Wartime Blues,1927,,
Blind Willie McTell,191.73832,Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935,country blues,Writing Paper Blues,1927,,
Charley Patton,191.11138,Charley Patton Vol. 1 (1929),delta blues,Mississippi Boweavil Blues,1929,,
Sleepy John Estes,196.88444,Legendary Country Blues Artists - CD A,country blues,Street Car Blues,1930,,
Charley Patton,196.62322,Essential Delta Blues,delta blues,Moon Going Down,1930,,
Charlie Patton,173322,A Spoonful Blues  Vol 1,delta blues,34 Blues,1934,,
Sleepy John Estes,163.91791,Legendary Country Blues Artists - CD A,country blues,Stop That Thing,1935,,
Sleepy John Estes,188.26404,I Ain't Gonna Be Worried No More 1929-1941,country blues,Down South Blues,1935,,
Red Foley,192.80934,25 Country Memories,country gospel,Old Shep,1936,,
Bukka White,172.30322,The Panama Limited,delta blues,Fixin' To Die Blues,1940,,
Bukka White,159.00689,Blues With Bukka,delta blues,Sleepy Man Blues,1940,,
Tex Williams,181.08036,Smokin' Hits,western swing,Smoke! Smoke! Smoke! (That Cigarette),1947,,
Tex Williams,174.73261,Vintage Collections,western swing,Smoke! Smoke! Smoke! (That Cigarette),1947,,
Percy Mayfield,173.50485,The Birth of R&B,jump blues,Please Send Me Someone To Love,1950,,
Georges Brassens,100.8322,"Georges Brassens: Le siA""cle d'or",chanson,Comme hier,1953,,
Big Mama Thornton with Kansas Bill and his Orchestra,169.84771,A Lesson in Rock,texas blues,Hound Dog,1953,,
Percy Faith And His Orchestra,220.15955,The Fabulous Fifties Vol 6,orchestra,The Song From Moulin Rouge,1953,,
Guitar Slim,183.06567,And... R&B was born,r&b,The Things That I Used To Do,1953,,
J. B. Lenoir,190.64118,If You Love Me,chicago blues,I'm in Korea,1954,,
Toots Thielemans,302.62812,Only Trust Your Heart,latin jazz,Sophisticated Lady,1955,,
B.B. King,170.68363,The Very Best Of The Early Years,blues-rock,Please Love Me,1956,,
Georges Brassens,115.25179,"Georges Brassens: Le siA""cle d'or",chanson,Colombine,1956,,
Screamin' Jay Hawkins,211.33016,I Put a Spell on You: The Best Of,rock 'n roll,I Put a Spell on You,1956,,
Georges Brassens,184.76363,Georges Brassens-N 4,chanson,"AuprA""s De Mon Arbre",1956,,
Cal Tjader,197.22404,Latin Kick,latin jazz,Manuel's Mambo,1956,,
Eddy Arnold,183.50975,Cattle Call,honky tonk,Molly Darling,1956,,
B.B.King,167.49669,Take A Swing With Me,blues-rock,Please Love Me,1956,,
Dells,159.05914,Dreams Of Contentment,chicago soul,Why Do You Have to Go,1957,,
Jackie Wilson,128.93995,Lonely Teardrops,chicago soul,It's So Fine,1958,,
Little Jr. Parker,154.8273,Blues Consolidated,soul blues,Mother-In-Law Blues,1958,,
Jackie Wilson,101.77261,Lonely Teardrops,chicago soul,If I Can't Have You,1958,,
Jackie Wilson,160.78322,The Jackie Wilson Genesis,chicago soul,I'm Wanderin',1958,,
Jackie Wilson,120.76363,Reet Petite,chicago soul,Why Can't You Be Mine,1958,,
Elizabeth Cotten,295.60118,Live!,ragtime,Freight Train,1958,,
Johnny Cash,80.03873,The Original Johnny Cash Volume 1,honky tonk,You Tell Me,1959,,
JoAPSo Gilberto,153.70404,Chega de Saudade,brazilian jazz,ManhAPS de Carnaval (Morning of the Carnaval) (Cantando As MAosicas do Film Orfeo do Carnaval),1959,,
Don Gibson,151.09179,I Can't Stop Loving You,country rock,(Prayer Is The Key To Heaven) Faith Unlocks The Door,1959,,
Don Gibson,148.06159,I Can't Stop Loving You,country rock,Evening Prayer,1959,,
Mongo Santamaria,130.01098,Afro Roots,latin jazz,Los Conguitos,1959,,
Jackie Wilson,141.81832,Lonely Teardrops,chicago soul,Each Time (I Love You More),1959,,
Carl Belew,140.38159,Country Heartbreakers,rockabilly,Am I That Easy To Forget,1959,,
Connie Francis,147.17342,Essential Christmas,brill building pop,Baby's First Christmas,1959,,
Johnny Horton,148.79302,100 Country Classics,country rock,The Battle Of New Orleans,1959,,
Freddie King,286.82404,King Of The Blues,texas blues,Hide Away,1960,,
Brenda Lee,188.26404,Brenda Lee,ballad,Your One And Only (LP Version),1960,,
Brenda Lee,205.13914,Brenda Lee,ballad,Against My Will (LP Version),1960,,
Louis Prima And Keely Smith,159.16363,Jump_ Jive an' Wail: The Essential Louis Prima,space age pop,I've Got You Under My Skin,1960,,
The Shirelles,159.76444,Dreamboats & Petticoats 2,doo-wop,Will You Love Me Tomorrow,1960,,
Don Gibson,184.68526,Sweet Dreams,country rock,Release Me,1960,,
Jerry Butler,167.18322,Spotlight On Jerry Butler,chicago soul,He Will Break Your Heart,1960,,
Hank Locklin,143.35955,Super Box Of Country - 35 Country Classics From the 50's_ 60's_ 70's And 80's,honky tonk,Send Me The Pillow You Dream On,1960,,
The Shirelles,127.29424,Where Or When,doo-wop,Dedicated To The One I Love,1960,,
Bob Newhart,72.33261,Behind The Button-Down Mind Of Bob Newhart,comedy,Herb Philbrick - Counter Spy ( LP Version ),1961,,
